XZangleToObj,YZangleToObj,DistToObjhorizontalPan,forwardPan,xRotInput,yRotInput,sprintButtonDown,fireButtonDown
-12.21942,-0.3310224,6.354234|0,0.250911,0,-0.2,0,0
-13.01337,-0.9598116,6.2566|0,0.3393209,0,-0.15,0,0
-13.43935,-1.390157,6.062041|0,0.4524838,0,0,0,0
-14.13217,1.140209,5.770897|0,0.2551947,0,0,0,0
-14.3789,1.894859,5.674055|0,0.1973308,0,0,0,0
-14.89859,2.903197,5.48071|0,0.1079187,0,0,0,0
-15.17246,3.856915,5.384219|0,0.01247066,0,0,0,0
-15.17246,2.316889,5.384219|0,0,0,0,0,0
-15.55072,5.812104,5.191637|0,0.117813,0.05,0.05,0,0
-12.69153,7.11698,4.903579|0,0.306741,0.45,0.95,0,0
-12.75376,6.560287,4.806182|0,0.3669271,0,0.05,0,0
-13.30302,6.099501,4.611561|0,0.2736631,-0.05,0,0,1
-13.97935,1.829062,6.659631|0,0.1823671,0,0,0,0
-14.40774,0.6327289,6.465855|0,0.06953716,0,0,0,0
-14.40774,2.919334,6.465855|0,0,0,0,0,0
-13.57521,0.6720214,6.853765|0,-0.216222,0,0,0,0
-13.38164,1.263001,6.950957|0,-0.2748089,0,0,0,0
-13.19338,1.632668,7.048227|0,-0.37578,0,0,0,0
-12.83212,1.897645,7.242991|0,-0.4687979,0,0,0,0
-12.48979,2.846957,7.438034|0,-0.5795159,0,0,0,0
-12.32528,3.139246,7.535652|0,-0.674403,0,0,0,0
-11.70784,1.287704,7.926719|0,-0.459717,0,0,0,0
-11.56289,0.7631016,8.024624|0,-0.4020571,0,0,0,0
-11.42141,0.5460806,8.122579|0,-0.3261811,0,0,0,0
-11.14852,-0.5274898,8.318637|0,-0.2187991,0,0,0,0
-11.01689,-1.208204,8.416735|0,-0.1219921,0,0,0,0
-11.01689,0.5241405,8.416735|0,0,0,0,0,0
-11.56289,-0.4853748,8.024624|0,0.204129,0,0,0,0
-11.70784,0.2220564,7.926719|0,0.273387,0,0,0,0
-11.85641,0.7610474,7.828868|0,0.3346801,0,0,0,0
-12.16497,1.441301,7.633332|0,0.445884,0,0,0,0
-12.32528,2.12946,7.535652|0,0.540858,0,0,0,0
-11.25867,3.949974,7.340479|0,0.6438181,0.15,0.35,0,0
-1.935125,-4.919482,7.046647|0,0.8488711,0.4,2.45,0,0
-1.762919,-4.416989,6.946759|0,0.908871,0,0.05,0,0
-1.815315,-4.057289,6.746969|0,0.983691,0,0,0,0
-1.242538,-3.591887,6.647079|0,1,-0.05,0.15,0,0
-1.081189,-2.412164,6.447251|0,1,0,0.05,0,0
-1.115749,-1.985837,6.247418|0,1,0,0,0,1
-66.91865,-16.79909,6.579309|0,1,0,0,0,0
